rank	concept	char	languages	english
3084	07651905-n	勇	42	heart
3085	07668702-n	勉	42	pork
3086	07669891-n	勘	42	ham
3087	07697100-n	募	42	hamburger
3088	07721456-n	勤	42	chili
3089	07771212-n	勾	42	walnut
3090	07827284-n	勿	42	saffron
3091	07842753-n	匈	42	omelette
3092	07893642-n	匐	42	champagne
3093	07905038-n	匕	42	rum
3094	07974025-n	匙	42	class
3095	07991169-n	匠	42	flock
3096	08107499-n	匡	42	family
3097	08114004-n	匣	42	ministry
3098	08208560-n	匪	42	team
3099	08223802-n	匹	42	community
3100	08295580-n	匿	42	UN
3101	08324514-n	午	42	committee
3102	08366440-n	卉	42	Nazism
3103	08366753-n	卜	42	economy
3104	08407619-n	卞	42	exhibition
3105	08750612-n	占	42	Havana
3106	08780018-n	卦	42	Helsinki
3107	08822202-n	卯	42	Alberta
3108	08902097-n	危	42	Assam
3109	08902894-n	卵	42	Punjab
3110	09308572-n	厄	42	iceberg
3111	09362316-n	厘	42	mouth
3112	09374036-n	厥	42	North Sea
3113	09397607-n	叉	42	pool
3114	09573682-n	叔	42	Zeus
3115	09605289-n	叛	42	adult
3116	09614047-n	句	42	coward
3117	09619168-n	叩	42	female
3118	09644152-n	只	42	Mongol
3119	09676884-n	叫	42	Slav
3120	09689958-n	叱	42	Albanian
3121	09698108-n	吃	42	chink
3122	09818343-n	吏	42	astronomer
3123	09937250-n	吐	42	colonel
3124	09989045-n	吝	42	bird
3125	10076033-n	吟	42	fag
3126	10150071-n	吠	42	guard
3127	10173410-n	否	42	heroine
3128	10338707-n	含	42	murderer
3129	10368009-n	吸	42	nun
3130	10439851-n	吻	42	player
3131	10474064-n	吼	42	princess
3132	10601078-n	吾	42	sinner
3133	10639925-n	呈	42	fan
3134	10679174-n	呵	42	surgeon
3135	10689878-n	呻	42	talent
3136	10878161-n	咀	42	Caesar
3137	11281555-n	咆	42	Sarah
3138	11661372-n	咎	42	yew
3139	12164065-n	咫	42	watermelon
3140	12630144-n	咬	42	strawberry
3141	13265425-n	咳	42	dowry
3142	13488110-n	咸	42	globalisation
3143	13537429-n	咽	42	photosynthesis
3144	13583724-n	哀	42	unit
3145	13741022-n	哄	42	digit
3146	13783816-n	哈	42	map
3147	13882276-n	哉	42	hexagon
3148	13982000-n	哥	42	cold war
3149	13982156-n	哨	42	Cold War
3150	14359952-n	哭	42	nausea
3151	14392639-n	哮	42	bipolar disorder
3152	14476290-n	哺	42	disaster
3153	14658109-n	唆	42	thorium
3154	14693733-n	唐	42	quartz
3155	14717275-n	唯	42	bronze
3156	14863521-n	唱	42	manure
3157	15008142-n	唾	42	ruby
3158	00007012-v	啄	41	blow
3159	00014405-v	啖	41	rest
3160	00025728-r	啼	41	everywhere
3161	00067545-v	喀	41	sweat
3162	00081486-r	喉	41	daily
3163	00100002-r	喊	41	little
3164	00100082-r	喘	41	early
3165	00162632-n	喝	41	decision
3166	00183505-n	喧	41	vote
3167	00196364-v	嗅	41	burn
3168	00219856-n	嗜	41	euthanasia
3169	00227595-n	嗟	41	sacrifice
3170	00256507-v	嗣	41	swell
3171	00325328-v	嗤	41	fry
3172	00340239-a	嘲	41	sure
3173	00631737-v	嘴	41	guess
3174	00645493-a	嘶	41	incredible
3175	00719705-n	噫	41	job
3176	00749767-n	嚼	41	perfidy
3177	01037819-n	囚	41	baptism
3178	01048406-a	圃	41	happy
3179	01065456-v	圈	41	explain
3180	01101391-a	圭	41	general
3181	01133106-n	址	41	occupation
3182	01231652-v	坊	41	stab
3183	01249724-v	坐	41	rub
3184	01277426-a	坑	41	main
3185	01285440-v	坤	41	tie
3186	01482228-a	坦	41	single
3187	01573515-v	坪	41	tear
3188	01611472-n	垂	41	peregrine falcon
3189	01675963-v	垠	41	deck
3190	01678112-a	埃	41	rare
3191	01735736-a	埋	41	patient
3192	01842204-v	埠	41	go out
3193	01855606-v	堆	41	move
3194	01940736-n	堡	41	mollusc
3195	02001858-v	堪	41	tail
3196	02007558-n	堰	41	flamingo
3197	02074677-v	堵	41	escape
3198	02121511-v	塑	41	hurt
3199	02202146-a	塘	41	second
3200	02208145-a	塾	41	fiftieth
3201	02237338-v	墓	41	deny
3202	02321757-v	墟	41	rob
3203	02346627-n	墨	41	porcupine
3204	02515341-a	壑	41	visible
3205	02609813-a	壕	41	Albanian
3206	02690081-n	壤	41	airline
3207	02732072-n	壬	41	aquarium
3208	02747802-n	壹	41	ashtray
3209	02758977-v	夙	41	snow
3210	02777100-n	夭	41	balance
3211	02783161-n	夷	41	Australia
3212	02812949-n	奄	41	bayonet
3213	02879517-n	奇	41	bow
3214	02961688-a	奉	41	Czech
3215	02968325-a	奎	41	European
3216	03005285-n	契	41	chandelier
3217	03016202-a	奔	41	Greek
3218	03030035-n	奕	41	cigar
3219	03051307-a	套	41	Bulgarian
3220	03495258-n	奚	41	harp
3221	03497182-n	奠	41	hash
3222	03560161-n	奢	41	god
3223	03636248-n	奴	41	lamp
3224	03721384-n	奸	41	marimba
3225	03874965-n	如	41	pagoda
3226	03876519-n	妃	41	painting
3227	03929660-n	妄	41	pick
3228	03955296-n	妊	41	plane
3229	04049098-n	妓	41	train station
3230	04235291-n	妙	41	sled
3231	04264914-n	妥	41	spaceship
3232	04295881-n	妨	41	arena
3233	04323026-n	妹	41	bourse
3234	04330267-n	妾	41	stove
3235	04358707-n	姆	41	supermarket
3236	04482393-n	姐	41	trike
3237	04576002-n	姑	41	wheelchair
3238	04709253-n	姚	41	difficulty
3239	04748836-n	姜	41	difference
3240	04970758-n	姨	41	violet
3241	05149325-n	姻	41	aim
3242	05285623-n	威	41	marrow
3243	05331404-n	娃	41	prostate
3244	05415395-n	娑	41	mucus
3245	05650579-n	娜	41	attention
3246	05667404-n	娟	41	custom
3247	05682570-n	娠	41	curiosity
3248	05682950-n	娥	41	interest
3249	05790944-n	娩	41	choice
3250	05898568-n	娼	41	plan
3251	05941423-n	婆	41	belief
3252	06018465-n	婉	41	statistics
3253	06222959-n	婢	41	Gnosticism
3254	06239931-n	媒	41	Sikhism
3255	06352301-n	媚	41	Avestan
3256	06372680-n	媛	41	myth
3257	06411592-n	嫁	41	authority
3258	06426111-n	嫉	41	number
3259	06470073-n	嫌	41	document
3260	06518719-n	嫡	41	ticket
3261	06630017-n	嫦	41	greeting
3262	07162680-n	嫩	41	proposal
3263	07226545-n	嬉	41	promise
3264	07238694-n	孔	41	speech
3265	07429976-n	孕	41	invasion
3266	07451463-n	孚	41	funeral
3267	07470671-n	孜	41	match
3268	07551052-n	孝	41	mood
3269	07585208-n	孟	41	broth
3270	07672914-n	孰	41	margarine
3271	07743544-n	孵	41	blueberry
3272	07841037-n	宋	41	white
3273	07841907-n	宏	41	Easter egg
3274	07925808-n	宙	41	koumiss
3275	07935152-n	宛	41	green tea
3276	08191701-n	宜	41	navy
3277	08306047-n	宥	41	caste
3278	08463969-n	宦	41	treasure
3279	08512736-n	宴	41	border
3280	08550966-n	宵	41	diocese
3281	08612049-n	寂	41	orbit
3282	08905936-n	寅	41	Maharashtra
3283	08906952-n	寇	41	Tibet
3284	09017301-n	寐	41	Yalta
3285	09071571-n	寓	41	Georgetown
3286	09210604-n	寞	41	atmosphere
3287	09273447-n	察	41	British Sea
3288	09282724-n	寡	41	foam
3289	09386422-n	寨	41	particle
3290	09397896-n	寮	41	positron
3291	09451237-n	寸	41	supernova
3292	09457020-n	封	41	Thames
3293	09500936-n	射	41	phoenix
3294	09545324-n	尖	41	spirit
3295	09570298-n	尤	41	Hades
3296	09614315-n	就	41	creator
3297	09620078-n	尹	41	denizen
3298	09624168-n	尺	41	male
3299	09673495-n	尿	41	Indian
3300	09805324-n	屈	41	archer
3301	09846755-n	屎	41	apiarist
3302	09889691-n	屑	41	nominee
3303	10264437-n	屠	41	linguist
3304	10307234-n	履	41	member
3305	10433164-n	屯	41	pilot
3306	10628644-n	屹	41	king
3307	10906822-n	岑	41	Confucius
3308	11073586-n	岱	41	Isaac
3309	11308624-n	岳	41	Sophocles
3310	12640607-n	岷	41	apricot
3311	13594302-n	峙	41	prime
3312	13729428-n	峨	41	complex number
3313	13737480-n	峻	41	¼
3314	13743269-n	崇	41	two
3315	14099643-n	崔	41	dyslexia
3316	14145911-n	崖	41	asthma
3317	14419164-n	嵌	41	link
3318	14539826-n	巍	41	insurance
3319	14592610-n	巡	41	plastic
3320	14653596-n	巧	41	samarium
3321	14658546-n	巨	41	thulium
3322	14661020-n	巫	41	vanadium
3323	14844693-n	己	41	dirt
3324	14869829-n	已	41	flax
3325	15036916-n	巳	41	venom
3326	15153787-n	巷	41	age
3327	15243976-n	巾	41	all time
3328	15249799-n	帆	41	anniversary
3329	00006269-n	帑	40	life
3330	00026192-n	帖	40	feeling
3331	00029378-n	帛	40	event
3332	00031304-r	帝	40	still
3333	00037396-n	席	40	action
3334	00048374-n	帽	40	arrival
3335	00094001-n	幅	40	salvation
3336	00158309-r	幌	40	just
3337	00219403-v	幢	40	dry
3338	00250259-n	幸	40	development
3339	00429048-n	幻	40	amusement
3340	00442115-n	幽	40	swim
3341	00458890-n	庇	40	video game
3342	00520214-a	庚	40	total
3343	00610532-a	庵	40	atomic
3344	00624738-n	庶	40	exercise
3345	00637259-v	康	40	reckon
3346	00670261-v	庸	40	judge
3347	00727564-a	廊	40	independent
3348	00731222-n	廓	40	mission
3349	00854876-n	廖	40	head
3350	00865958-v	弄	40	damn
3351	00996673-n	弊	40	jihad
3352	01050890-a	弓	40	arm
3353	01091905-n	弗	40	trade
3354	01146493-a	弛	40	grateful
3355	01160342-n	弧	40	penalty
3356	01345307-a	弩	40	dull
3357	01370561-v	弱	40	kick
3358	01488616-a	弼	40	big
3359	01519873-n	彗	40	emu
3360	01557185-n	彩	40	thrush
3361	01637982-v	彪	40	find
3362	01672607-a	彬	40	ordinary
3363	01696648-v	彭	40	color
3364	01729819-a	彰	40	ex-
3365	01805523-v	影	40	miss
3366	01828736-v	彷	40	enjoy
3367	02096167-v	役	40	spin
3368	02125311-n	征	40	puma
3369	02156140-n	徇	40	claw
3370	02222318-v	徊	40	toss
3371	02433318-n	律	40	fallow deer
3372	02456962-n	徒	40	sloth
3373	02472987-n	徘	40	mankind
3374	02498320-v	徙	40	book
3375	02537085-n	徨	40	trout
3376	02550868-v	循	40	save
3377	02572038-a	微	40	mad
3378	02684924-v	徽	40	keep
3379	02692877-n	忌	40	airship
3380	02782329-n	忍	40	balloon
3381	02813645-n	忖	40	bazaar
3382	02841315-n	忘	40	binocs
3383	02941790-a	念	40	African
3384	02958392-a	忽	40	French
3385	03020692-n	忿	40	chisel
3386	03044740-a	怒	40	Arabic
3387	03068181-n	怖	40	collar
3388	03118790-a	怠	40	Slavic
3389	03120198-n	怡	40	court
3390	03160309-n	怨	40	dam
3391	03188531-n	怪	40	nappy
3392	03308297-n	怯	40	eye
3393	03336839-n	恃	40	file
3394	03359137-n	恍	40	torch
3395	03482523-n	恐	40	hand
3396	03496612-n	恕	40	harrow
3397	03507048-n	恢	40	heart
3398	03541696-n	恣	40	inn
3399	03582658-n	恨	40	invention
3400	03595614-n	恪	40	T-shirt
3401	03691459-n	恬	40	speaker
3402	03726760-n	恰	40	mast
3403	03785016-n	悉	40	moped
3404	03839795-n	悍	40	hurdle
3405	03845550-n	悔	40	salve
3406	03916031-n	悖	40	scent
3407	03956922-n	悟	40	plant
3408	04141327-n	悠	40	scabbard
3409	04190052-n	患	40	shelf
3410	04326896-n	悲	40	stool
3411	04356056-n	悴	40	shades
3412	04371563-n	悸	40	togs
3413	04498389-n	悼	40	turban
3414	04599396-n	惑	40	work
3415	04603081-n	惚	40	shop
3416	04964977-n	惜	40	scarlet
3417	05013204-n	惟	40	absolute zero
3418	05115040-n	惠	40	plenty
3419	05134547-n	惰	40	depth
3420	05309245-n	想	40	uvula
3421	05333777-n	惶	40	artery
3422	05406570-n	惹	40	bile
3423	05503705-n	惺	40	spinal cord
3424	05538215-n	愁	40	asshole
3425	05833683-n	愈	40	grief
3426	05929008-n	愉	40	part
3427	05952678-n	愕	40	superstition
3428	05980875-n	愚	40	goal
3429	06057539-n	愧	40	anatomy
3430	06206800-n	慈	40	respect
3431	06309931-n	慌	40	subject
3432	06324669-n	慕	40	article
3433	06330401-n	慢	40	future tense
3434	06453849-n	慧	40	New Testament
3435	06601327-n	慨	40	import
3436	06778102-n	慰	40	gag
3437	06785223-n	慷	40	enigma
3438	06842660-n	憎	40	colon
3439	06930093-n	憔	40	Guoyu
3440	07223170-n	憧	40	gossip
3441	07292694-n	憩	40	result
3442	07298154-n	憬	40	surprise
3443	07406765-n	憾	40	current
3444	07699584-n	懈	40	noodle
3445	07752664-n	懿	40	raisin
3446	07788885-n	戈	40	yabby
3447	07794159-n	戊	40	prawn
3448	07802417-n	戌	40	cereal
3449	07929351-n	戍	40	coffee
3450	07967982-n	戎	40	race
3451	07985223-n	我	40	pair
3452	07999699-n	戒	40	set
3453	08008335-n	或	40	organization
3454	08149781-n	戟	40	sect
3455	08568719-n	截	40	equator
3456	08570758-n	戮	40	field
3457	08582837-n	戴	40	hell
3458	08583095-n	扁	40	hemisphere
3459	08653474-n	扇	40	vacuum
3460	08759263-n	扈	40	Bratislava
3461	08760510-n	扉	40	Scandinavia
3462	08761697-n	才	40	Zealand
3463	08906272-n	打	40	West Bengal
3464	08952423-n	扮	40	Budapest
3465	09008993-n	扶	40	Nalchik
3466	09010453-n	批	40	Chelyabinsk
3467	09014273-n	抄	40	Vilnius
3468	09188383-n	抉	40	Adriatic Sea
3469	09388023-n	把	40	pebble
3470	09446115-n	抒	40	sound
3471	09500217-n	抗	40	Paris
3472	09536363-n	折	40	Lord
3473	09541125-n	披	40	dwarf
3474	09696585-n	抱	40	Canadian
3475	09727627-n	抵	40	Pole
3476	09787534-n	抹	40	ambassador
3477	09863936-n	押	40	Bolshevik
3478	09936215-n	抽	40	coworker
3479	09969218-n	拇	40	count
3480	10006337-n	拌	40	dervish
3481	10140314-n	拍	40	governor
3482	10280130-n	拐	40	master
3483	10282482-n	拒	40	maid
3484	10282672-n	拓	40	maid
3485	10403876-n	拗	40	passenger
3486	10433737-n	拘	40	pimp
3487	10464178-n	拙	40	preacher
3488	10502329-n	招	40	rabbi
3489	11483990-n	括	40	meteor
3490	11877646-n	拭	40	turnip
3491	12147226-n	拮	40	bamboo
3492	12284262-n	拱	40	alder
3493	12692875-n	拳	40	myrrh
3494	12860365-n	拷	40	basil
3495	12942395-n	拾	40	parsley
3496	13085864-n	拿	40	crop
3497	13371760-n	按	40	gold
3498	13597444-n	挫	40	first
3499	13675591-n	挺	40	dobra
3500	13726074-n	挽	40	joule
3501	13740168-n	捉	40	nil
3502	13812607-n	捏	40	kinship
3503	13948912-n	捐	40	championship
3504	13984613-n	捕	40	shade
3505	14077830-n	捧	40	ague
3506	14650556-n	捷	40	polonium
3507	14651212-n	捻	40	praseodymium
3508	14651479-n	授	40	promethium
3509	14651708-n	掉	40	protactinium
3510	14652390-n	排	40	rhenium
3511	14652954-n	掖	40	rubidium
3512	14654175-n	掘	40	selenium
3513	14657566-n	掠	40	terbium
3514	14699752-n	探	40	stone
3515	14700438-n	控	40	pumice
3516	14789885-n	掩	40	lime
3517	14792703-n	措	40	sugar
3518	14804175-n	揖	40	cement
3519	14842703-n	握	40	air
3520	14911704-n	搬	40	tar
3521	14936226-n	搭	40	limestone
3522	15101854-n	摸	40	board
3523	15167349-n	摺	40	night
3524	15191827-n	撒	40	Good Friday
3525	00027384-r	撞	39	yet
3526	00027918-r	撤	39	yet
3527	00173338-v	播	39	remove
3528	00228236-v	撮	39	water
3529	00230746-v	操	39	grow
3530	00363788-n	擒	39	adding
3531	00405879-a	擦	39	pale
3532	00406243-v	攀	39	ready
3533	00424767-n	攘	39	atrocity
3534	00442917-a	攫	39	distant
3535	00479440-n	放	39	handball
3536	00480211-n	故	39	volleyball
3537	00611047-a	效	39	traditional
3538	00758525-n	敏	39	greed
3539	00848466-n	敖	39	adultery
3540	00933420-n	敞	39	art
3541	01038666-v	敢	39	chat
3542	01090820-a	散	39	useful
3543	01132864-n	敦	39	obedience
3544	01133281-n	敬	39	direction
3545	01163779-n	敲	39	execution
3546	01168569-n	斌	39	rivalry
3547	01222360-a	斐	39	honest
3548	01309143-v	斑	39	scratch
3549	01334958-a	斜	39	clever
3550	01432601-v	斟	39	bear
3551	01456756-n	斡	39	sea horse
3552	01539573-n	斤	39	sparrow
3553	01552519-v	斥	39	cut
3554	01559590-v	斧	39	saw
3555	01684899-v	斯	39	paint
3556	01787955-v	旅	39	vex
3557	01795545-n	旋	39	black grouse
3558	01843689-v	旗	39	visit
3559	01945685-n	旦	39	slug
3560	01957529-v	旬	39	ride
3561	02005948-v	旱	39	get
3562	02223266-n	旺	39	termite
3563	02226970-n	昊	39	locust
3564	02261386-a	昏	39	liquid
3565	02275892-a	昔	39	rotten
3566	02419796-n	星	39	antelope
3567	02443346-n	映	39	ferret
3568	02450256-v	昧	39	take part
3569	02504562-v	晃	39	force
3570	02510769-n	晏	39	gill
3571	02716866-n	晤	39	antibiotic
3572	02735086-n	晦	39	archive
3573	02774152-n	晨	39	purse
3574	02788148-n	晶	39	banister
3575	02873839-n	智	39	booth
3576	02889425-n	暇	39	brake
3577	02959406-a	暮	39	Soviet
3578	03015254-n	暴	39	chest
3579	03109150-n	曙	39	corkscrew
3580	03125729-n	曜	39	cradle
3581	03142834-n	曝	39	crystal
3582	03234306-n	曦	39	drawing
3583	03247620-n	曰	39	drug
3584	03295773-n	曳	39	escalator
3585	03346455-n	曹	39	hearth
3586	03364156-n	曼	39	fin
3587	03511426-n	替	39	heel
3588	03556992-n	朋	39	icebreaker
3589	03606719-n	服	39	Caaba
3590	03637318-n	朔	39	lampshade
3591	03684823-n	朕	39	engine
3592	03699280-n	朝	39	lyre
3593	03744276-n	朦	39	store
3594	03789946-n	札	39	motor
3595	03833065-n	朱	39	novel
3596	03836602-n	朴	39	nutcracker
3597	03966976-n	朽	39	pliers
3598	04033082-n	李	39	quay
3599	04298308-n	杏	39	stairs
3600	04453298-n	杖	39	toothpaste
3601	04505036-n	杞	39	typewriter
3602	04679738-n	杭	39	look
3603	04847482-n	杰	39	virtue
3604	04849241-n	杳	39	virtue
3605	04890112-n	杵	39	wisdom
3606	04921900-n	杷	39	education
3607	04961472-n	枇	39	chalk
3608	05098942-n	析	39	size
3609	05268112-n	枕	39	flesh
3610	05282746-n	林	39	tooth
3611	05335971-n	枚	39	aorta
3612	05549830-n	枝	39	body
3613	05555688-n	枯	39	waist
3614	05567727-n	架	39	pinky
3615	05624042-n	柏	39	gift
3616	05720248-n	某	39	din
3617	05809878-n	柑	39	world
3618	05938976-n	染	39	template
3619	06203603-n	柩	39	Islamophobia
3620	06295235-n	柯	39	plural
3621	06312237-n	柴	39	vocative case
3622	06326797-n	栓	39	person
3623	06414372-n	株	39	textbook
3624	06478582-n	核	39	diploma
3625	06544142-n	桂	39	will
3626	06568978-n	桃	39	program
3627	06619428-n	桐	39	program
3628	06808720-n	桓	39	Mathematical
3629	07028373-n	桔	39	tune
3630	07184149-n	桶	39	quarrel
3631	07214432-n	梁	39	discovery
3632	07266178-n	梅	39	buoy
3633	07308563-n	梓	39	explosion
3634	07584423-n	梗	39	borscht
3635	07686873-n	梢	39	toast
3636	07713895-n	梧	39	cole
3637	07764847-n	梯	39	avocado
3638	07781319-n	械	39	mackerel
3639	07784522-n	梳	39	herring
3640	07799579-n	梵	39	caviar
3641	07944050-n	棉	39	kid
3642	08161477-n	棋	39	senate
3643	08303275-n	棍	39	league
3644	08506496-n	棒	39	oasis
3645	08506641-n	棘	39	field
3646	08588916-n	棠	39	ionosphere
3647	08630039-n	棺	39	region
3648	08701161-n	椅	39	Cappadocia
3649	08808452-n	椎	39	Genoa
3650	08829533-n	椒	39	Montreal
3651	08833130-n	椰	39	New South Wales
3652	08927836-n	椿	39	Jericho
3653	09028062-n	楔	39	Catalonia
3654	09117351-n	楚	39	NY
3655	09235894-n	楞	39	Caribbean
3656	09400987-n	楠	39	pulsar
3657	09408540-n	楫	39	Rhine
3658	09481958-n	楷	39	Yellow Sea
3659	09537502-n	榕	39	Messiah
3660	09568051-n	榛	39	Uranus
3661	09695620-n	榜	39	Bulgarian
3662	09729156-n	榴	39	Georgian
3663	09734885-n	槌	39	Turk
3664	09906704-n	槐	39	champion
3665	09952539-n	槽	39	director
3666	09974648-n	樊	39	artisan
3667	09988216-n	樟	39	milkmaid
3668	10168584-n	樵	39	heir
3669	10320863-n	樽	39	minister
3670	11126490-n	橙	39	Lenin
3671	11375418-n	橡	39	Washington
3672	11456760-n	檀	39	field
3673	11464143-n	檄	39	gravity
3674	11798978-n	欣	39	ivy
3675	11949402-n	欲	39	camomile
3676	12936469-n	欺	39	coriander
3677	13284562-n	款	39	bribe
3678	13371958-n	此	39	diamond
3679	13397174-n	歪	39	debt
3680	13413493-n	殆	39	value
3681	13447361-n	殉	39	reaction
3682	13997253-n	殊	39	thrall
3683	14086143-n	殖	39	epilepsy
3684	14117805-n	段	39	diabetes
3685	14652623-n	毅	39	rhodium
3686	14661482-n	毒	39	ytterbium
3687	14668539-n	毓	39	beryl
3688	14723628-n	氓	39	catalyst
3689	14925033-n	氾	39	jasper
3690	15141213-n	汀	39	millennium
3691	15207556-n	求	39	full moon
3692	15279104-n	汕	39	hertz
3693	00021212-r	汗	38	now and then
3694	00024720-n	汝	38	state
3695	00058743-n	池	38	escape
3696	00118032-r	汪	38	then
3697	00145713-r	汰	38	enough
3698	00148078-a	汲	38	sly
3699	00205046-v	汽	38	improve
3700	00257580-n	沁	38	shower
3701	00260648-v	沂	38	repair
3702	00267522-n	沃	38	upkeep
3703	00269989-a	沈	38	light
3704	00390198-n	沌	38	punctuation
3705	00426958-v	沐	38	vanish
3706	00502822-n	沙	38	backgammon
3707	00510348-a	沛	38	able
3708	00659048-n	沫	38	massage
3709	00710155-n	沮	38	acupuncture
3710	00817680-n	沸	38	protection
3711	01003249-v	沼	38	photograph
3712	01064148-n	沽	38	ease
3713	01180206-v	泄	38	feed
3714	01232635-a	泌	38	horizontal
3715	01249816-n	泗	38	vandalism
3716	01324431-n	泡	38	carnivore
3717	01375831-a	泣	38	famed
3718	01400562-a	泥	38	legal
3719	01447257-v	泰	38	press
3720	01471043-v	泳	38	abduct
3721	01471682-n	洛	38	vertebrate
3722	01535709-a	洞	38	modern
3723	01579410-n	洪	38	rook
3724	01731351-a	洲	38	present
3725	01743605-n	洽	38	python
3726	01747885-n	派	38	cobra
3727	01747945-v	浙	38	print
3728	01823092-a	浚	38	impossible
3729	01889256-a	浣	38	proud
3730	01985923-v	浩	38	sink
3731	02082791-n	浴	38	antbear
3732	02179518-v	浸	38	sound
3733	02196214-v	涌	38	salt
3734	02208537-v	涎	38	hire
3735	02312744-n	涓	38	cocoon
3736	02324182-v	液	38	lend
3737	02396014-n	涵	38	boar
3738	02396205-v	淆	38	name
3739	02666943-n	淇	38	abattoir
3740	02692624-a	淋	38	chemical
3741	02761897-v	淑	38	quench
3742	02793495-n	淘	38	barn
3743	02828884-n	淞	38	bench
3744	02857587-a	淡	38	political
3745	02960338-a	淫	38	Danish
3746	02984203-n	淮	38	cathedral
3747	02987492-n	淳	38	sabre
3748	03223686-n	淹	38	doorstep
3749	03337140-n	添	38	file
3750	03485997-n	渚	38	grip
3751	03492542-n	渠	38	hard disk
3752	03547054-n	渤	38	hut
3753	03570709-n	渥	38	ingredient
3754	03613592-n	渭	38	key
3755	03701391-n	游	38	machine gun
3756	03733281-n	渺	38	maze
3757	03786417-n	湃	38	morphine
3758	03791053-n	湍	38	scooter
3759	03797390-n	湖	38	mug
3760	03807537-n	湘	38	napkin
3761	03903424-n	湛	38	pedal
3762	04048075-n	溜	38	railway
3763	04137444-n	溢	38	satellite
3764	04192858-n	溥	38	shield
3765	04210390-n	溪	38	shrine
3766	04228054-n	溯	38	ski
3767	04296562-n	溺	38	stage
3768	04298765-n	滂	38	stake
3769	04453910-n	滑	38	top
3770	04536038-n	滓	38	vineyard
3771	04579667-n	滔	38	whistle
3772	04602044-n	滴	38	work
3773	04606014-n	漂	38	lei
3774	04610013-n	漆	38	yacht
3775	04897762-n	漠	38	behavior
3776	05128519-n	漫	38	area
3777	05157574-n	漱	38	gain
3778	05274105-n	潘	38	clavicle
3779	05316025-n	潭	38	eyeball
3780	05318831-n	潺	38	eardrum
3781	05319936-n	澎	38	iris
3782	05442131-n	澳	38	chromosome
3783	05512337-n	澹	38	vesica
3784	05512835-n	濠	38	ureter
3785	05518870-n	濡	38	oviduct
3786	05567489-n	濯	38	digit IV
3787	05567604-n	瀑	38	tall man
3788	05714466-n	瀚	38	aroma
3789	05791602-n	瀛	38	wish
3790	05861067-n	灌	38	sum
3791	05897825-n	灸	38	UFO
3792	05933246-n	灼	38	view
3793	05965195-n	炎	38	nationalism
3794	06256229-n	炙	38	leaf
3795	06264398-n	炬	38	mail
3796	06304671-n	炭	38	syllable
3797	06311557-n	炯	38	accusative
3798	06552639-n	炳	38	pardon
3799	06674188-n	炸	38	password
3800	06776138-n	烈	38	wit
3801	06806469-n	烙	38	symbol
3802	06812631-n	烹	38	log
3803	06844040-n	焉	38	eroteme
3804	07026352-n	焙	38	opera
3805	07044760-n	焚	38	symphony
3806	07289588-n	焦	38	marvel
3807	07362386-n	然	38	drop
3808	07485626-n	煌	38	appetite
3809	07539790-n	煎	38	ennui
3810	07747951-n	煤	38	mandarin
3811	07809368-n	煽	38	flavoring
3812	08111783-n	熄	38	civilization
3813	08173515-n	熊	38	EU
3814	08431437-n	熔	38	row
3815	08456993-n	熙	38	order
3816	08558963-n	熟	38	residence
3817	08578032-n	熹	38	epicentre
3818	08626283-n	燃	38	municipality
3819	08660339-n	燎	38	surface
3820	08731606-n	燕	38	Indochina
3821	08758679-n	燧	38	Moravia
3822	08765069-n	燮	38	Oslo
3823	08822855-n	爆	38	British Columbia
3824	08958212-n	爪	38	Sidon
3825	08975435-n	爬	38	Muscat
3826	09020119-n	爽	38	Akmola
3827	09035305-n	片	38	Tanganyika
3828	09164095-n	牌	38	Hanoi
3829	09213565-n	牒	38	bank
3830	09354984-n	牝	38	Galaxy
3831	09394797-n	牟	38	PN
3832	09432430-n	牡	38	shell
3833	09503877-n	牢	38	occult
3834	09569467-n	牧	38	Persephone
3835	09586743-n	牲	38	Eve
3836	09612848-n	犀	38	consumer
3837	09622302-n	犬	38	lover
3838	09691279-n	狂	38	Aussie
3839	09764381-n	狄	38	acrobat
3840	09847010-n	狎	38	beggar
3841	09887496-n	狐	38	caliph
3842	10238375-n	狙	38	knight
3843	10257948-n	狡	38	librarian
3844	10296832-n	狩	38	martyr
3845	10389398-n	狼	38	owner
3846	10516016-n	猖	38	refugee
3847	10603766-n	猛	38	sister-in-law
3848	11229801-n	猜	38	Pericles
3849	11249322-n	猥	38	Putin
3850	11307422-n	猩	38	Socrates
3851	11482312-n	猷	38	microwave
3852	11719286-n	猾	38	peony
3853	12141385-n	猿	38	grain
3854	12318378-n	獗	38	walnut
3855	12405714-n	玄	38	elm
3856	12709103-n	率	38	pomelo
3857	13077033-n	玩	38	mold
3858	13100677-n	玲	38	vine
3859	13268146-n	玳	38	award
3860	13295657-n	珀	38	rent
3861	13318584-n	珊	38	interest
3862	13398953-n	班	38	loan
3863	13637841-n	球	38	ampere
3864	13719922-n	琅	38	ounce
3865	13779032-n	琉	38	volume
3866	14123044-n	琢	38	measles
3867	14126660-n	琥	38	cecity
3868	14319684-n	琳	38	jaundice
3869	14464203-n	琵	38	flaw
3870	14539268-n	琶	38	safety
3871	14661740-n	瑁	38	yttrium
3872	14689493-n	瑕	38	peat
3873	14761122-n	瑙	38	caffeine
3874	14796969-n	瑚	38	CO₂
3875	14943580-n	瑜	38	wood
